round,steps,coins_collected,bombs_dropped,crates_destroyed,killed_self,invalid_actions,kills,killed_by_opponent,total_reward,epsilon
1570,26,0,3,9,1,0,0,0,-85.0,0.2298
1571,6,0,1,2,1,0,0,0,-39.0,0.2295
1572,25,0,3,8,1,0,0,0,-102.0,0.2293
1573,45,0,6,12,1,0,0,0,-176.0,0.2291
1574,15,0,2,6,1,0,0,0,-55.0,0.2288
1575,96,1,9,30,1,0,0,0,-183.0,0.2286
1576,18,1,2,8,1,0,0,0,-54.0,0.2284
1577,37,1,4,13,1,0,0,0,-89.0,0.2282
1578,95,3,10,30,1,1,0,0,-196.0,0.2279
1579,44,1,5,9,1,0,0,0,-132.0,0.2277
1580,51,1,6,17,1,0,0,0,-137.0,0.2275
1581,48,0,5,12,1,0,1,0,-134.0,0.2272
1582,14,0,2,7,1,0,0,0,-48.0,0.227
1583,6,0,1,2,1,0,0,0,-39.0,0.2268
1584,73,3,7,18,1,0,0,0,-155.0,0.2266
1585,75,4,5,14,1,0,0,0,-142.0,0.2263
1586,36,1,5,11,1,0,0,0,-119.0,0.2261
1587,6,0,1,3,1,0,0,0,-36.0,0.2259
1588,90,1,10,24,1,0,1,0,-198.0,0.2257
1589,116,5,6,17,1,1,0,0,-213.0,0.2254
1590,6,0,1,2,1,0,0,0,-42.0,0.2252
1591,20,0,3,10,1,0,0,0,-73.0,0.225
1592,39,1,5,14,1,0,0,0,-108.0,0.2248
1593,59,2,6,20,1,0,0,0,-135.0,0.2245
1594,6,0,1,2,1,0,0,0,-42.0,0.2243
1595,6,0,1,3,1,0,0,0,-41.0,0.2241
1596,7,0,1,2,1,0,0,0,-52.0,0.2239
1597,17,0,2,5,1,0,0,0,-81.0,0.2236
1598,33,0,4,11,1,0,0,0,-122.0,0.2234
1599,31,1,4,9,1,0,0,0,-88.0,0.2232
1600,25,0,3,11,1,0,0,0,-75.0,0.223
1601,147,0,11,24,1,0,0,0,-341.0,0.2227
1602,106,5,7,23,0,1,0,1,-104.0,0.2225
1603,17,0,2,5,1,0,0,0,-97.0,0.2223
1604,21,0,3,5,1,0,0,0,-79.0,0.2221
1605,44,1,5,16,1,0,1,0,-78.0,0.2219
1606,56,2,4,14,1,0,0,0,-106.0,0.2216
1607,21,0,3,10,1,0,0,0,-104.0,0.2214
1608,9,0,1,3,1,0,0,0,-46.0,0.2212
1609,5,0,1,3,1,0,0,0,-69.0,0.221
1610,6,0,1,3,1,0,0,0,-36.0,0.2207
1611,133,0,9,18,1,0,0,0,-315.0,0.2205
1612,5,0,1,4,1,0,0,0,-66.0,0.2203
1613,14,0,2,9,1,0,0,0,-67.0,0.2201
1614,69,2,5,10,0,1,0,1,-154.0,0.2199
1615,33,1,4,12,1,0,0,0,-110.0,0.2196
1616,41,1,4,11,1,0,0,0,-158.0,0.2194
1617,5,0,1,3,1,0,0,0,-69.0,0.2192
1618,65,2,7,16,1,0,0,0,-153.0,0.219
1619,7,0,1,3,1,0,0,0,-40.0,0.2188
1620,126,1,11,23,1,0,0,0,-265.0,0.2185
1621,18,1,2,4,1,0,0,0,-59.0,0.2183
1622,99,3,8,24,0,0,0,1,-120.0,0.2181
1623,36,2,3,10,1,0,0,0,-79.0,0.2179
1624,25,1,3,6,1,0,0,0,-87.0,0.2177
1625,66,0,7,25,1,0,0,0,-78.0,0.2175
1626,111,1,11,22,1,1,0,0,-260.0,0.2172
1627,93,1,9,29,1,1,0,0,-174.0,0.217
1628,23,0,3,8,1,0,0,0,-80.0,0.2168
1629,44,0,5,13,1,0,0,0,-121.0,0.2166
1630,55,1,7,25,1,0,0,0,-80.0,0.2164
1631,8,0,1,3,1,0,0,0,-55.0,0.2162
1632,22,0,3,8,1,0,0,0,-89.0,0.2159
1633,26,2,3,7,1,0,0,0,-71.0,0.2157
1634,91,3,8,22,1,0,0,0,-89.0,0.2155
1635,6,0,1,3,1,0,0,0,-39.0,0.2153
1636,5,0,1,4,1,0,0,0,-66.0,0.2151
1637,7,0,1,2,1,0,0,0,-68.0,0.2149
1638,37,2,4,12,1,0,0,0,-81.0,0.2146
1639,175,3,11,31,1,0,0,0,-368.0,0.2144
1640,15,0,2,7,1,0,0,0,-68.0,0.2142
1641,70,2,8,20,1,0,0,0,-202.0,0.214
1642,6,0,1,3,1,0,0,0,-36.0,0.2138
1643,13,0,2,3,1,0,0,0,-64.0,0.2136
