round,steps,coins_collected,bombs_dropped,crates_destroyed,killed_self,invalid_actions,kills,killed_by_opponent,total_reward,epsilon
3904,81,2,7,16,1,0,0,0,-104.0,0.1
3905,269,3,22,30,1,1,0,0,-770.0,0.1
3906,400,4,34,42,0,2,1,0,-1290.0,0.1
3907,205,2,16,42,1,0,0,0,-324.0,0.1
3908,7,0,1,4,1,0,0,0,-46.0,0.1
3909,32,3,4,11,1,0,0,0,-53.0,0.1
3910,23,0,3,10,1,0,0,0,-73.0,0.1
3911,46,0,6,18,1,0,0,0,-119.0,0.1
3912,13,0,2,6,1,0,0,0,-59.0,0.1
3913,7,0,1,2,1,0,0,0,-47.0,0.1
3914,106,6,10,31,1,0,0,0,-53.0,0.1
3915,97,2,11,33,1,0,0,0,-128.0,0.1
3916,26,2,2,5,1,0,0,0,-106.0,0.1
3917,57,0,6,23,1,0,0,0,-91.0,0.1
3918,73,3,8,29,1,0,0,0,-158.0,0.1
3919,137,4,6,19,1,0,0,0,-77.0,0.1
3920,41,0,5,12,1,0,0,0,-122.0,0.1
3921,64,1,7,18,1,1,0,0,-118.0,0.1
3922,22,0,3,11,1,0,0,0,-66.0,0.1
3923,206,5,16,26,1,0,0,0,-563.0,0.1
3924,57,0,7,24,1,0,0,0,-64.0,0.1
3925,82,2,6,13,1,0,0,0,-111.0,0.1
3926,6,0,1,2,1,0,0,0,-39.0,0.1
3927,31,1,4,7,1,0,0,0,-94.0,0.1
3928,56,0,7,28,1,0,0,0,-59.0,0.1
3929,39,2,4,16,1,0,0,0,-75.0,0.1
3930,99,4,7,27,1,1,0,0,-41.0,0.1
3931,16,1,2,7,1,0,0,0,-72.0,0.1
3932,6,0,1,2,1,0,0,0,-39.0,0.1
3933,193,3,14,26,1,0,0,0,-453.0,0.1
3934,28,0,4,9,1,0,0,0,-104.0,0.1
3935,38,2,4,16,1,0,0,0,-45.0,0.1
3936,57,2,6,19,0,0,0,1,-46.0,0.1
3937,21,0,3,12,1,0,0,0,-65.0,0.1
3938,288,2,26,34,1,0,0,0,-930.0,0.1
3939,5,0,1,3,1,0,0,0,-49.0,0.1
3940,22,0,3,10,1,0,0,0,-92.0,0.1
3941,23,1,3,8,1,0,0,0,-70.0,0.1
3942,119,4,12,37,1,0,1,0,-105.0,0.1
3943,37,2,4,15,1,0,0,0,-63.0,0.1
3944,32,2,4,10,1,0,0,0,-56.0,0.1
3945,47,0,6,18,1,0,0,0,-92.0,0.1
3946,38,0,5,13,1,0,0,0,-146.0,0.1
3947,14,0,2,8,1,0,0,0,-45.0,0.1
3948,23,1,3,5,1,0,0,0,-97.0,0.1
3949,13,0,2,4,1,0,0,0,-73.0,0.1
3950,27,1,3,10,1,0,0,0,-69.0,0.1
3951,22,0,3,8,1,0,0,0,-82.0,0.1
3952,69,2,8,35,1,0,0,0,-62.0,0.1
3953,51,2,6,20,1,0,0,0,-99.0,0.1
3954,6,0,1,2,1,0,0,0,-39.0,0.1
3955,38,1,5,13,1,0,0,0,-65.0,0.1
3956,66,3,6,21,1,1,0,0,-91.0,0.1
3957,123,2,11,30,1,1,0,0,-303.0,0.1
3958,21,0,3,14,1,0,0,0,-49.0,0.1
3959,85,1,9,33,1,0,0,0,-122.0,0.1
3960,26,1,3,15,1,0,0,0,-52.0,0.1
3961,207,4,18,39,1,0,1,0,-415.0,0.1
3962,197,1,16,34,1,1,0,0,-420.0,0.1
3963,46,2,5,18,1,0,0,0,-90.0,0.1
3964,22,0,3,9,1,0,0,0,-73.0,0.1
3965,51,1,6,19,1,0,0,0,-133.0,0.1
3966,12,0,2,6,1,0,0,0,-28.0,0.1
3967,7,0,1,2,1,0,0,0,-49.0,0.1
3968,400,1,38,38,0,1,0,0,-1020.0,0.1
3969,58,1,6,18,1,0,0,0,-147.0,0.1
3970,61,2,7,30,1,1,0,0,-73.0,0.1
3971,47,1,6,11,0,0,0,1,-122.0,0.1
3972,400,4,31,34,0,0,0,0,-1450.0,0.1
3973,91,2,11,22,1,0,0,0,-125.0,0.1
3974,119,5,11,26,1,0,0,0,-71.0,0.1
3975,97,2,8,21,1,1,0,0,-206.0,0.1
3976,134,0,11,25,1,0,0,0,-348.0,0.1
3977,100,4,9,30,1,0,1,0,-10.0,0.1
3978,239,2,16,27,1,2,0,0,-602.0,0.1
3979,5,0,1,4,1,0,0,0,-66.0,0.1
3980,96,1,10,30,1,0,1,0,-74.0,0.1
3981,114,1,8,29,0,1,0,1,-3.0,0.1
3982,400,5,28,30,0,0,0,0,-1127.0,0.1
3983,71,3,8,23,1,0,0,0,-94.0,0.1
3984,22,0,3,12,1,0,0,0,-22.0,0.1
3985,135,3,11,29,1,1,0,0,-173.0,0.1
3986,22,0,3,13,1,0,0,0,-33.0,0.1
3987,85,3,7,24,1,0,0,0,-28.0,0.1
3988,74,3,4,12,0,1,0,1,-108.0,0.1
3989,82,1,8,27,1,0,0,0,-192.0,0.1
3990,184,2,14,31,1,0,0,0,-457.0,0.1
3991,33,1,4,11,1,0,0,0,-98.0,0.1
3992,13,0,2,5,1,0,0,0,-70.0,0.1
3993,400,2,47,45,0,4,0,0,-966.0,0.1
3994,28,3,3,13,1,0,0,0,-64.0,0.1
3995,54,3,6,22,1,0,0,0,-56.0,0.1
3996,44,0,4,6,1,0,0,0,-170.0,0.1
3997,400,2,24,32,0,2,0,0,-873.0,0.1
3998,309,2,27,34,1,1,0,0,-708.0,0.1
3999,21,0,3,8,1,0,0,0,-80.0,0.1
4000,31,0,4,17,1,0,0,0,-46.0,0.1
